,userID,stime,grid,etime,lon,lat,duration,stayid
257950,35,2009-02-09 10:53:38,7645,2009-02-09 13:28:13,116.327073,39.989252,9275.0,0
258219,35,2009-02-09 13:41:53,7218,2009-02-09 21:55:01,116.297144,40.013324,29588.0,1
255677,35,2009-02-09 22:10:06,7644,2009-02-10 00:37:12,116.320973,39.984171,8826.0,2
256007,35,2009-02-10 00:59:52,7218,2009-02-10 02:49:46,116.297253,40.013422,6594.0,3
256289,35,2009-02-10 03:11:56,7357,2009-02-10 06:11:39,116.29922,39.979944,10783.0,4
256421,35,2009-02-10 06:15:54,7644,2009-02-10 10:52:34,116.321447,39.980222,16600.0,5
256547,35,2009-02-10 10:56:34,7645,2009-02-10 13:12:24,116.327085,39.989259,8150.0,6
256818,35,2009-02-10 13:26:24,7218,2009-02-10 21:56:47,116.29722,40.013353,30623.0,7
284314,35,2009-02-10 22:15:22,7501,2009-02-11 01:37:02,116.320821,39.981805,12100.0,8
284618,35,2009-02-11 02:24:32,7357,2009-02-11 06:05:17,116.30906,39.979505,13245.0,9
284973,35,2009-02-11 06:08:17,7644,2009-02-11 07:06:32,116.321441,39.980167,3495.0,10
285070,35,2009-02-11 07:06:32,7501,2009-02-11 10:55:28,116.320887,39.98196,13736.0,11
285123,35,2009-02-11 10:59:03,7645,2009-02-11 12:11:23,116.327392,39.989262,4340.0,12
285520,35,2009-02-11 12:30:48,7218,2009-02-11 21:55:10,116.297181,40.013349,33862.0,13
168966,35,2009-02-11 22:14:45,7501,2009-02-12 01:47:38,116.320905,39.981932,12773.0,14
169076,35,2009-02-12 01:56:28,7502,2009-02-12 02:27:33,116.320692,39.991408,1865.0,15
169267,35,2009-02-12 02:34:58,7357,2009-02-12 05:49:30,116.303303,39.979911,11672.0,16
170220,35,2009-02-12 05:59:25,7644,2009-02-12 07:19:50,116.321104,39.98052,4825.0,17
170351,35,2009-02-12 07:28:25,7501,2009-02-12 10:57:49,116.320408,39.981503,12564.0,18
170527,35,2009-02-12 10:59:49,7645,2009-02-12 13:22:44,116.321015,39.989154,8575.0,19
170716,35,2009-02-12 13:28:14,7500,2009-02-12 14:22:49,116.318732,39.980061,3275.0,20
171011,35,2009-02-12 14:48:49,7218,2009-02-12 21:56:34,116.29708,40.01335,25665.0,21
257105,35,2009-02-12 22:17:44,7501,2009-02-13 02:37:42,116.320824,39.982081,15598.0,22
257229,35,2009-02-13 02:45:22,7357,2009-02-13 05:53:11,116.306739,39.980035,11269.0,23
257407,35,2009-02-13 06:02:21,7644,2009-02-13 07:37:56,116.32151,39.980165,5735.0,24
257526,35,2009-02-13 07:37:56,7501,2009-02-13 10:51:30,116.320889,39.981627,11614.0,25
257596,35,2009-02-13 10:56:15,7645,2009-02-13 13:41:10,116.327069,39.989107,9895.0,26
257883,35,2009-02-13 13:56:45,7218,2009-02-14 00:52:26,116.297201,40.013319,39341.0,27
33590,35,2009-02-14 01:15:11,7500,2009-02-14 03:04:32,116.315996,39.971229,6561.0,28
33930,35,2009-02-14 03:22:42,7218,2009-02-14 05:30:32,116.297189,40.013343,7670.0,29
34788,35,2009-02-14 05:54:02,8078,2009-02-14 09:30:12,116.356507,40.029561,12970.0,30
35101,35,2009-02-14 09:47:37,7645,2009-02-14 13:22:22,116.331212,39.997936,12885.0,31
35397,35,2009-02-14 13:35:52,7218,2009-02-15 01:38:28,116.297181,40.013347,43356.0,32
196753,35,2009-02-15 01:59:38,8078,2009-02-15 05:21:58,116.356459,40.029555,12140.0,33
197385,35,2009-02-15 06:25:28,7218,2009-02-15 09:27:09,116.297182,40.013357,10901.0,34
197609,35,2009-02-15 09:40:29,7645,2009-02-15 13:47:19,116.330766,39.99788,14810.0,35
198003,35,2009-02-15 14:01:44,7218,2009-02-15 21:51:39,116.297256,40.013363,28195.0,36
128022,35,2009-02-15 22:09:39,7644,2009-02-16 00:37:13,116.320912,39.984999,8854.0,37
128052,35,2009-02-16 00:37:18,7644,2009-02-16 01:40:28,116.321331,39.981753,3790.0,38
128288,35,2009-02-16 01:49:13,7358,2009-02-16 02:42:53,116.309077,39.982328,3220.0,39
128359,35,2009-02-16 02:47:53,7357,2009-02-16 05:53:49,116.307622,39.980028,11156.0,40
26133,35,2009-02-16 07:00:33,7643,2009-02-16 07:34:08,116.321366,39.979894,2015.0,41
26612,35,2009-02-16 07:46:48,7501,2009-02-16 10:54:48,116.320865,39.981797,11280.0,42
26871,35,2009-02-16 10:58:03,7645,2009-02-16 13:14:58,116.320995,39.989154,8215.0,43
27167,35,2009-02-16 13:28:18,7218,2009-02-16 21:52:27,116.297253,40.013328,30249.0,44
291640,35,2009-02-16 22:14:37,7501,2009-02-17 02:01:38,116.320886,39.982027,13621.0,45
291947,35,2009-02-17 02:28:58,7357,2009-02-17 03:45:13,116.30905,39.97871,4575.0,46
292684,35,2009-02-17 03:45:28,7215,2009-02-17 11:08:58,116.297054,39.982352,26610.0,47
306043,35,2009-02-17 11:32:18,7218,2009-02-17 21:51:01,116.297231,40.013356,37123.0,48
274976,35,2009-02-17 22:15:56,7501,2009-02-18 02:31:55,116.320864,39.981876,15359.0,49
275066,35,2009-02-18 02:41:10,7357,2009-02-18 05:52:39,116.307216,39.979918,11489.0,50
275285,35,2009-02-18 05:55:59,7644,2009-02-18 11:06:50,116.321562,39.98024,18651.0,51
275438,35,2009-02-18 11:07:05,7500,2009-02-18 13:20:20,116.320271,39.980008,7995.0,52
275812,35,2009-02-18 13:47:50,7218,2009-02-18 21:54:49,116.297217,40.013294,29219.0,53
132268,35,2009-02-18 22:25:49,7644,2009-02-19 02:35:30,116.321586,39.981468,14981.0,54
132498,35,2009-02-19 02:40:15,7786,2009-02-19 04:03:40,116.332845,39.975215,5005.0,55
132852,35,2009-02-19 04:10:45,7357,2009-02-19 05:58:15,116.30883,39.975526,6450.0,56
132924,35,2009-02-19 06:03:35,7644,2009-02-19 10:46:45,116.326522,39.981268,16990.0,57
133089,35,2009-02-19 10:46:45,7645,2009-02-19 13:35:55,116.320943,39.989058,10150.0,58
133402,35,2009-02-19 13:51:30,7218,2009-02-19 21:55:05,116.297169,40.013301,29015.0,59
164367,35,2009-02-19 22:15:10,7501,2009-02-20 01:09:59,116.32088,39.981664,10489.0,60
164518,35,2009-02-20 01:21:29,7216,2009-02-20 02:19:19,116.296904,39.989339,3470.0,61
165060,35,2009-02-20 02:26:09,7357,2009-02-20 05:56:21,116.299818,39.979651,12612.0,62
165959,35,2009-02-20 05:59:56,7644,2009-02-20 06:58:16,116.321388,39.980252,3500.0,63
166081,35,2009-02-20 06:58:16,7501,2009-02-20 10:50:37,116.320875,39.981812,13941.0,64
166168,35,2009-02-20 10:56:22,7645,2009-02-20 13:56:57,116.327016,39.989264,10835.0,65
